city,state,area,time,number,lat,lon,score
Joliet,Illinois,159.0,3.874594285,3,41.525031,-88.0817251,123.1096638
Hammond,Indiana,285.0,13.93541492,6,41.583368799999995,-87.5000412,122.7089405
Sunnyvale,California,240.0,1.98971276,1,37.368829999999996,-122.03634960000001,120.6204256
Hayward,California,240.0,1.996998597,1,37.6688205,-122.08079640000001,120.18035490000001
Grove City,Ohio,224.0,3.736662294,2,39.881451899999995,-83.09296440000001,119.893093
Mountain View,California,240.0,2.0608958530000003,1,37.3860517,-122.08385109999999,116.4542108
Concord,California,240.0,2.07178678,1,37.9779776,-122.0310733,115.84203659999999
San Leandro,California,240.0,2.140044376,1,37.7249296,-122.1560768,112.1472072
Cedar Rapids,Iowa,222.0,6.249768125,3,41.9778795,-91.66562320000001,106.5639535
High Point,North Carolina,297.0,11.15219037,4,35.955692299999995,-80.0053176,106.5261585
Iowa City,Iowa,222.0,6.262432911,3,41.6611277,-91.5301683,106.34844469999999
Redwood City,California,240.0,2.284983704,1,37.4852152,-122.2363548,105.03357179999999
Greensboro,North Carolina,297.0,11.32343349,4,36.072635399999996,-79.79197540000001,104.9151745
Alameda,California,240.0,2.30085079,1,37.7652065,-122.2416355,104.3092412
Oakland,California,240.0,2.366059739,1,37.8043637,-122.27111370000002,101.43446340000001
Greenville,North Carolina,220.0,4.3718898,2,35.612660999999996,-77.3663538,100.642976
Fairfield,California,240.0,2.386696105,1,38.2493581,-122.03996629999999,100.5574189
Baltimore,Maryland,223.0,4.438669808,2,39.2903848,-76.6121893,100.4805537
Berkeley,California,240.0,2.39999597,1,37.87159260000001,-122.272747,100.0001679
Salinas,California,240.0,2.415427207,1,36.6777372,-121.6555013,99.36130524
San Mateo,California,240.0,2.426704043,1,37.562991700000005,-122.32552539999999,98.89957563
Vacaville,California,240.0,2.467107949,1,38.3565773,-121.98774440000001,97.27989408
Louisville/Jefferson County,Kentucky,185.0,3.848783596,2,38.252664700000004,-85.7584557,96.13426964
Vallejo,California,240.0,2.546904401,1,38.1040864,-122.25663670000002,94.23204103
Richmond,California,240.0,2.563886737,1,37.9357576,-122.3477486,93.60787921
San Francisco,California,240.0,2.6131242980000002,1,37.7749295,-122.4194155,91.8440811
Washington,District of Columbia,248.0,8.273433273,3,38.9071923,-77.03687070000001,89.92639156
Daly City,California,240.0,2.683290576,1,37.687924100000004,-122.47020790000002,89.442419
Bloomington,Indiana,185.0,4.25257303,2,39.165325,-86.5263857,87.00614837
Alexandria,Virginia,248.0,8.65758832,3,38.804835499999996,-77.0469214,85.93617212
Napa,California,240.0,2.8023197260000003,1,38.2975381,-122.28686499999999,85.64333246
Ames,Iowa,35.0,0.41484477799999997,1,42.03078120000001,-93.63191309999999,84.36890574
San Rafael,California,240.0,2.895875386,1,37.9735346,-122.5310874,82.87649432
Wilmington,North Carolina,220.0,5.620716426,2,34.2257255,-77.9447102,78.28183575
El Cajon,California,240.0,6.444142387,2,32.7947731,-116.96252690000001,74.48624986
Asheville,North Carolina,100.0,5.729648135,4,35.5950581,-82.5514869,69.81231492
Indianapolis,Indiana,185.0,5.450400035,2,39.768403,-86.158068,67.88492545
Richmond,Virginia,199.0,5.90566327,2,37.540724600000004,-77.4360481,67.39293824
Fishers,Indiana,185.0,5.981200707999999,2,39.95675479999999,-86.01335,61.8604889
Carmel,Indiana,185.0,6.1528759289999995,2,39.978371,-86.1180435,60.1344809
Gastonia,North Carolina,142.0,7.437402607999999,3,35.262082,-81.1873005,57.27806097
Lexington-Fayette,Kentucky,120.0,2.410598184,1,38.040583700000006,-84.50371640000002,49.78017522
O'Fallon,Missouri,30.0,0.69594281,1,38.8106075,-90.6998477,43.10699034
St. Louis,Missouri,30.0,0.7943478190000001,1,38.6270025,-90.1994042,37.76683118
