ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
183,Mt. Crescent Ski Area,Crescent,IA,P.O. Box 69,51526,TRUE,18,39,5,45,1200ft - 1500ft,1,27,12/27-3/ 8,2.9,2,50,9,11,http://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html,30
184,Mt. Hood Meadows,Mt Hood,OR,14040 Hwy 35,97041,TRUE,15,N/A,N/A,50,4522ft - 7300ft,6,20,11/21-5/ 1,3.2,14,2150,15,85,http://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html,430
185,Mt. Hood Ski Bowl,Government Camp,OR,PO Box 280,97028,TRUE,20,53,0,40,3600ft - 5100ft,0,40,12/16-4/13,3.3,9,960,0,65,http://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,300
186,Mt. Jefferson,Lee,ME,P. O. Box 35,4455,FALSE,33,N/A,N/A,34,351ft - 752ft,0,33,2/ 9-3/29,2.8,3,12,0,10,http://www.onthesnow.com/maine/mt-jefferson/ski-resort.html,N/A
187,Mt. Rose ,Reno,NV,22222 Mt. Rose Hwy.,89511,FALSE,20,N/A,N/A,30,8260ft - 9700ft,3,40,11/ 4-4/19,3.3,8,1200,10,60,http://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,300
188,Mt. Spokane Ski and Snowboard Park,Mead,WA,29500 North Mt. Spokane Park Dr.,99021,TRUE,23,54,0,32,3818ft - 5889ft,3,45,12/11-3/29,3.1,5,1000,0,47,http://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,300
189,Mulligan's Hollow Ski Bowl,Grand,MI,Box 969,49417,TRUE,25,16,12,25,570ft - 700ft,0,25,1/ 7-3/22,0,5,10,25,6,http://www.onthesnow.com/michigan/mulligans-hollow-ski-bowl/ski-resort.html,60
190,Nashoba Valley,Westford,MA,PO Box 309,1886,TRUE,24,54,42,47,200ft - 440ft,2,29,12/29-3/29,2.6,11,52,0,17,http://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html,55
191,New Hermon Mountain,Hermon,ME,441 Newburg Rd,4981,TRUE,40,27,22,30,100ft - 450ft,0,30,12/26-3/29,2.6,3,70,0,20,http://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,90
192,Nordic Mountain,Wild,WI,W5806 Cty Rd W,54984,TRUE,28,44,0,28,872ft - 1137ft,3,33,11/28-3/22,2.9,7,60,11,18,http://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,80
193,Nordic Valley Resort,Eden,UT,3567 Nordic Valley Way,84310,TRUE,30,39,25,40,5439ft - 6400ft,0,30,12/19-2/16,2.9,4,88,0,22,http://www.onthesnow.com/utah/wolf-creek/ski-resort.html,300
194,Northstar California,Truckee,CA,PO Box 129,96160,FALSE,16,N/A,N/A,47,6329ft - 8610ft,7,37,11/14-4/17,3.6,20,3170,0,100,http://www.onthesnow.com/california/northstar-california/ski-resort.html,350
195,Norway Mountain,Norway,MI,P.O. Box 95,49870,TRUE,6,45,20,33,835ft - 1335ft,2,33,12/ 4-3/29,3,6,186,28,17,http://www.onthesnow.com/michigan/norway-mountain/ski-resort.html,100
196,Nubs Nob Ski Area,Harbor,MI,500 Nub's Nob Road,49740,TRUE,30,70,47,50,911ft - 1337ft,3,20,11/27-4/10,3,11,248,0,53,http://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html,135
197,Oak Mountain,Speculator,NY,141 Novosel Way,12164,TRUE,45,38,0,27,1750ft - 2400ft,1,18,12/31-3/28,0,3,46,9,22,http://www.onthesnow.com/new-york/oak-mountain/ski-resort.html,120
198,Ober Gatlinburg Ski Resort,Gatlinburg,TN,1001 Parkway,37738,FALSE,20,65,0,60,2700ft - 3300ft,1,20,12/20-3/15,2.8,4,N/A,0,10,http://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html,35
199,Okemo Mountain Resort,Ludlow,VT,77 Okemo Ridge Road,5149,FALSE,32,97,65,37,1143ft - 3343ft,9,23,11/24-4/27,3.8,20,667,8,121,http://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html,200
200,Otis Ridge Ski Area,Otis,MA,159 Monterey Road - Route 23,1253,TRUE,30,40,0,40,1300ft - 1700ft,1,30,12/12-3/29,3.1,4,60,0,11,http://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html,70
201,Pajarito Mountain Ski Area,Los Alamos,NM,P.O. Box 155,87544,FALSE,20,N/A,N/A,50,9031ft - 10441ft,2,30,11/27-4/10,3.1,6,280,0,44,http://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html,163
202,Paoli Peaks,Paoli,IN,P.O. Box 67,47454,TRUE,47,42,0,33,600ft - 900ft,2,13,1/ 4-3/13,3,8,65,7,15,http://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html,18
203,Park City,Park City,UT,P.O. Box 39,84060,TRUE,9,N/A,N/A,51,6800ft - 10000ft,6,30,11/21-4/10,4.3,41,7300,10,334,http://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html,355
