ID,wthr,dscr,temp,pres,humd,spd,rain,snow
51,Clouds,broken clouds,35.08,693.65,55,5.06,0,0
52,Clouds,few clouds,84.67,1010.83,42,10.2,0,0
53,Rain,light rain,34.81,778.03,89,9.75,0.55,0
54,Clouds,broken clouds,46.83,813.62,60,6.29,0,0
55,Rain,light rain,35.53,801.29,100,3.49,2.55,0
56,Clear,clear sky,31.89,987.73,52,3.71,0,0
57,Clouds,broken clouds,70.18,1018.7,87,8.75,0,0
58,Clouds,broken clouds,50.2,984.25,63,17.92,0,0
59,Rain,light rain,40.08,876.19,81,3.71,0.26,0
60,Clear,clear sky,39.36,991.22,75,2.48,0,0
61,Clouds,scattered clouds,52.54,979.87,77,14.9,0,0
62,Clear,clear sky,43.54,963.33,89,4.38,0,0
63,Clouds,scattered clouds,34,985.87,55,4.38,0,0
64,Clouds,scattered clouds,36.39,984.08,69,11.77,0,0
65,Rain,light rain,46.83,1000.05,98,4.05,2.615,0
66,Clear,clear sky,29.59,985.38,68,2.15,0,0
67,Clouds,scattered clouds,41.74,1003.38,98,7.74,0,0
68,Clouds,scattered clouds,35.04,948.99,75,2.15,0,0
69,Clear,clear sky,86.29,1021.05,47,8.75,0,0
70,Clouds,scattered clouds,37.24,1001.43,81,15.68,0,0
71,Clouds,broken clouds,45.84,990.65,74,17.25,0,0
72,Clear,clear sky,42.51,925.8,73,1.59,0,0
73,Clear,clear sky,30.13,1014.24,57,2.59,0,0
74,Clouds,scattered clouds,50.11,990.57,65,18.7,0,0
75,Clear,clear sky,46.87,971.93,72,13.67,0,0
76,Clouds,scattered clouds,47.23,987.16,73,17.58,0,0
77,Clouds,scattered clouds,48.18,982.71,72,16.69,0,0
78,Rain,light rain,43,933.42,88,2.37,1.07,0
79,Clouds,broken clouds,35.08,693.65,55,5.06,0,0
80,Clouds,few clouds,74.32,975.57,75,1.92,0,0
81,Clouds,broken clouds,40.75,721.53,47,9.19,0,0
82,Clear,clear sky,79.23,986.6,50,6.73,0,0
83,Clouds,overcast clouds,38.68,1002.73,92,26.08,0,0
