ID,wthr,dscr,temp,pres,humd,spd,rain,snow
130,Clear,clear sky,36.39,770.72,56,11.14,0,0
131,Rain,light rain,34.36,806.3,84,7.34,0.1125,0
132,Clouds,broken clouds,36.88,1016,50,4.7,0,0
133,Clouds,broken clouds,35.22,986.34,50,1.86,0,0
134,Clouds,few clouds,29.91,994.44,57,3.49,0,0
135,Rain,heavy intensity rain,46.51,936.65,99,9.8,12.1,0
136,Clouds,broken clouds,47.59,977.99,76,8.9,0,0
137,Clouds,overcast clouds,46.92,982.04,64,6.06,0,0
138,Clear,clear sky,47.32,877.64,43,2.3,0,0
139,Rain,light rain,45.97,1004.82,98,12.37,0.5575,0
140,Rain,light rain,43.27,988.61,94,7.34,0.205,0
141,Rain,moderate rain,34.41,863.86,98,2.19,3.315,0
142,Clouds,few clouds,29.91,994.44,57,3.49,0,0
143,Rain,light rain,32.52,814.82,88,3.2,0.535,0
144,Clear,clear sky,35.67,1017.47,41,5.28,0,0
145,Clear,clear sky,30.81,715.92,51,3.27,0,0
146,Clouds,scattered clouds,37.56,1006,69,4.7,0,0
147,Clear,clear sky,32.36,1022,50,6.93,0,0
148,Rain,light rain,58.84,982.04,97,9.8,0.5,0
149,Clouds,broken clouds,39.4,985.77,44,2.19,0,0
150,Rain,light rain,47.46,880.96,78,9.75,0.345,0
151,Clouds,scattered clouds,50.86,1014,45,17.22,0,0
152,Clouds,overcast clouds,40.39,1008.39,59,2.19,0,0
153,Clouds,overcast clouds,39.36,991.36,83,10.8,0,0
154,Rain,heavy intensity rain,49.91,1015,100,3.36,0,0
155,Clouds,overcast clouds,41,1001,60,4.7,0,0
156,Clouds,overcast clouds,36.61,959.59,38,3.71,0,0
157,Clear,clear sky,48.2,1004,34,14.99,0,0
158,Clouds,few clouds,35.6,997,93,3.36,0,0
159,Clouds,overcast clouds,48.09,1018.76,61,5.39,0,0
160,Clear,clear sky,34.18,722,54,5.28,0,0
161,Rain,light rain,46.33,1017,57,5.39,0,0
162,Rain,light rain,40.12,845.62,59,3.71,0.11,0
163,Clouds,broken clouds,40.84,997.44,81,14.67,0,0
164,Clouds,overcast clouds,48.94,1005.71,54,3.76,0,0
165,Clouds,few clouds,50.2,931.22,78,2.37,0,0
166,Rain,moderate rain,36.66,893.85,99,2.59,4.205,0
167,Clouds,overcast clouds,44.31,987.23,89,7.52,0,0
168,Rain,light rain,42.55,986.42,97,6.55,1.435,0
169,Rain,light rain,47.05,989.34,96,10.54,1.08,0
170,Rain,light rain,50.74,980.58,96,8.9,0.2325,0
171,Clouds,broken clouds,47.91,985.04,88,6.4,0,0
172,Rain,light rain,51.78,1019,57,3.76,0,0
173,Clouds,overcast clouds,49.62,1012,87,16.11,0,0
174,Rain,moderate rain,35.17,862.24,99,2.3,5.795,0
175,Clouds,broken clouds,43.59,999.15,37,3.83,0,0
176,Clouds,overcast clouds,46.47,1027.11,61,5.61,0,0
177,Clouds,broken clouds,39.4,985.77,44,2.19,0,0
178,Clear,clear sky,29.77,991.53,57,2.82,0,0
179,Clouds,scattered clouds,36.84,898.55,64,10.65,0,0
180,Rain,moderate rain,39.72,982.29,100,13.82,10.36,0
181,Clouds,broken clouds,60.42,1032.7,100,18.03,0,0
182,Rain,light rain,47.5,986.58,95,13.33,1,0
183,Clouds,overcast clouds,59.29,975.72,80,7.11,0,0
184,Rain,moderate rain,35.53,930.33,95,6.51,3.095,0
185,Rain,moderate rain,35.53,930.33,95,6.51,3.095,0
186,Clear,clear sky,27.39,1021.68,49,6.62,0,0
187,Rain,light rain,35.26,822.19,94,13.27,1.015,0
188,Clear,clear sky,42.8,998,65,8.05,0,0
189,Rain,light rain,42.69,997.44,92,10.76,1.3875,0
190,Clear,clear sky,47.05,1022,25,9.17,0,0
191,Clear,clear sky,34.72,1025,43,6.93,0,0
192,Rain,light rain,45.16,982.61,86,10.54,0.1775,0
193,Clouds,broken clouds,49.15,1009,40,3.36,0,0
194,Rain,moderate rain,37.11,831.19,97,10.76,7.0275,0
195,Rain,light rain,40.93,993.39,84,6.85,0.145,0
196,Rain,light rain,37.06,999.71,96,16.46,2.2425,0
197,Clear,clear sky,39.2,1021,51,5.82,0,0
198,Rain,light rain,55.11,915.65,98,2.53,0.1125,0
199,Clouds,broken clouds,39.4,985.77,44,2.19,0,0
200,Clouds,overcast clouds,47.05,997.85,39,4.72,0,0
201,Clear,clear sky,42.96,815.54,43,6.55,0,0
202,Rain,light rain,59.74,995.66,98,6.4,0.1625,0
203,Rain,light rain,38.23,805.57,69,3.09,0.125,0
204,Clouds,broken clouds,40.12,998.58,44,2.98,0,0
205,Clouds,broken clouds,37.56,826.57,80,8.41,0,0
206,Clouds,overcast clouds,48.09,1012,76,13.87,0,0
207,Fog,fog,57.18,1007,93,6.93,0,0
208,Clouds,broken clouds,35.22,986.34,50,1.86,0,0
209,Rain,light rain,47.05,989.34,96,10.54,1.08,0
210,Clouds,broken clouds,41.07,979.85,82,5.21,0,0
211,Clouds,broken clouds,41.65,982.61,42,2.48,0,0
212,Clouds,scattered clouds,42.87,859.64,66,11.14,0,0
213,Clouds,few clouds,38.05,815.54,54,4.27,0,0
214,Clouds,broken clouds,49.15,1009,40,3.36,0,0
