city,state,area,time,number,lat,lon,score
Hemet,California,930,5.713825466,4,33.7475203,-116.9719684,651.0524381
Arcadia,California,930,5.769710503,4,34.1397292,-118.0353449,644.7463868
Menifee,California,930,5.804676604,4,33.6971468,-117.185294,640.8625758
Grand Rapids,Michigan,1361,21.24632732,10,42.9633599,-85.6680863,640.5813012
El Monte,California,930,5.925366764,4,34.0686206,-118.0275667,627.8092392
Fall River,Massachusetts,1380,28.9897994,13,41.7014912,-71.1550451,618.8383628
Wyoming,Michigan,1231,18.12450685,9,42.9133602,-85.7053085,611.2718041
Fullerton,California,930,6.246166336,4,33.8703596,-117.9242966,595.5653116
Whittier,California,930,6.308070406,4,33.9791793,-118.032844,589.7207483
Toledo,Ohio,1217,14.57283339,7,41.6639383,-83.555212,584.5808961
Bloomington,Minnesota,696,9.53051443,8,44.840798,-93.2982799,584.2286941
Anaheim,California,930,6.402451941,4,33.8352932,-117.9145036,581.0273992
Orange,California,930,6.413900577,4,33.7877944,-117.8531119,579.9902813
Madison,Wisconsin,1073,22.33314811,12,43.0730517,-89.4012302,576.5420951
Alhambra,California,930,6.517306901,4,34.095287,-118.1270146,570.7879123
Pasadena,California,930,6.519231913,4,34.1477849,-118.1445155,570.6193689
Tustin,California,930,6.578042258,4,33.7458511,-117.826166,565.5178022
Buena Park,California,930,6.653599835,4,33.8675143,-117.9981181,559.0958417
Santa Ana,California,930,6.753538531,4,33.7455731,-117.8678338,550.8223552
Palmdale,California,930,6.807167266,4,34.5794343,-118.1164613,546.4828254
Lake Forest,California,930,6.808234945,4,33.6469661,-117.689218,546.397125
Parma,Ohio,1045,15.34231965,8,41.4047742,-81.7229086,544.898046
Cleveland,Ohio,1045,15.41881381,8,41.49932,-81.6943605,542.1947565
Irvine,California,930,6.885030545,4,33.6839473,-117.7946942,540.3026139
Garden Grove,California,930,6.906782385,4,33.7739053,-117.9414477,538.6010145
Murrieta,California,930,6.941440366,4,33.5539143,-117.2139232,535.9118286
Norwalk,California,930,6.955656576,4,33.9022367,-118.081733,534.8165136
Minneapolis,Minnesota,696,10.43296038,8,44.977753,-93.2650108,533.6931991
Elyria,Ohio,1005,13.41883917,7,41.3683798,-82.1076486,524.2629344
Downey,California,930,7.100155231,4,33.9401088,-118.1331593,523.932207
Mission Viejo,California,930,7.114513027,4,33.6000232,-117.6719953,522.8748596
Bellflower,California,930,7.264470828,4,33.8816818,-118.1170117,512.081346
Westminster,California,930,7.30153097,4,33.7513419,-117.9939921,509.4821915
Glendale,California,930,7.317092255,4,34.1425078,-118.255075,508.398674
St. Paul,Minnesota,741,13.17412131,9,44.9537029,-93.0899578,506.2197199
Las Cruces,New Mexico,1310,5.238961163,2,32.3199396,-106.7636538,500.0991453
Los Angeles,California,930,7.439936503,4,34.0522342,-118.2436849,500.0042673
Temecula,California,930,7.473170404,4,33.4936391,-117.1483648,497.7807007
Lakewood,California,930,7.501028199,4,33.8536269,-118.1339563,495.9320111
Lancaster,California,930,7.510209062,4,34.6867846,-118.1541632,495.3257585
Appleton,Wisconsin,917,14.86845882,8,44.2619309,-88.4153847,493.393437
South Gate,California,930,7.546956948,4,33.954737,-118.2120161,492.9139023
Plymouth,Minnesota,696,11.37896941,8,45.0105194,-93.4555093,489.3237514
Burbank,California,930,7.649473708,4,34.1808392,-118.3089661,486.307966
